twitter,domain,name,type
McLarenF1,mclaren.com,McLaren,sports
PGATOUR,pgatour.com,PGA TOUR,sports
ufc_brasil,ufc.com.br,UFC Brasil,sports
SCInternacional,internacional.com.br,S. C. Internacional,sports
usopen,usopen.org,US Open Tennis,sports
sportrecife,sportrecife.com.br,Sport Club do Recife,sports
cavs,cavs.com,Cleveland Cavaliers,sports
redbullracing,infiniti-redbullracing.com,Red Bull Racing,sports
CanadiensMTL,canadiens.com,Canadiens Montréal,sports
Inter,inter.it,F.C. Internazionale,sports
lafabricacrm,,Cantera Real Madrid ,sports
SFGiants,sfgiants.com,San Francisco Giants,sports
alhilalcom,vb.alhilal.com,منتدى الهلال الرسمي,sports
XGames,xgames.com,X Games,sports
ecbahia,esporteclubebahia.com.br,Esporte Clube Bahia,sports
Eagles,philadelphiaeagles.com,Philadelphia Eagles,sports
Giants,,New York Giants,sports
Raptors,raptors.com,Toronto Raptors,sports
ChicagoBears,ChicagoBears.com,Chicago Bears,sports
ATPWorldTour,atpworldtour.com,ATP World Tour,sports
Cruz_Azul_FC,cruzazulfc.com,CRUZ AZUL FC ®,sports
AustralianOpen,ausopen.com,Australian Open,sports
OfficialASRoma,asroma.it,AS Roma,sports
Dodgers,Dodgers.com,Los Angeles Dodgers,sports
nyjets,nyjets.com,New York Jets,sports
Broncos,denverbroncos.com,Denver Broncos,sports
NHLBruins,BostonBruins.com,Boston Bruins,sports
HoustonRockets,rockets.com,Houston Rockets,sports
LAClippers,clippers.com,LA Clippers,sports
OL,olweb.fr,Olympique Lyonnais,sports
PumasMX,pumas.mx,PUMAS,sports
fifaworldcup_pt,pt.fifa.com,Copa do Mundo FIFA,sports
MillosFCoficial,millonarios.com.co,Millonarios FC,sports
AS_Monaco,asmonaco.com,AS MONACO,sports
ECVitoria,ecvitoria.com.br,E.C. Vitória,sports
LesVerts,faf.dz,"Les Verts d'Algérie",sports
dallasmavs,,Dallas Mavericks,sports
lionsdenkxip,kxip.in,Kings XI Punjab,sports
Saints,neworleanssaints.com,New Orleans Saints,sports
tigers,tigers.com,Detroit Tigers,sports
Cardinals,Cardinals.com,St. Louis Cardinals,sports
TeamUSA,TeamUSA.org,U.S. Olympic Team,sports
penguins,pittsburghpenguins.com,Pittsburgh Penguins,sports
jfa_samuraiblue,jfa.jp,サッカー日本代表,sports
Cubs,cubs.com,Chicago Cubs,sports
HoustonTexans,houstontexans.com,Houston Texans,sports
VanCanucks,canucks.com,Vancouver Canucks,sports
FluminenseFC,fluminense.com.br,Fluminense F.C.,sports
Braves,braves.com,Atlanta Braves,sports
LAKings,LAKINGS.com,LA Kings,sports
SunRisers,sunrisershyderabad.in,SunRisers Hyderabad,sports
Rayados,rayados.com,Rayados Oficial,sports
Ravens,BaltimoreRavens.com,Baltimore Ravens,sports
leones_cbbc,leones.com,Leones del Caracas,sports
BotafogoOficial,botafogo.com.br,Botafogo F.R,sports
TeamGB,TeamGB.com,Team GB,sports
TigresOficial,Tigres.com.mx,CLUB TIGRES OFICIAL,sports
DetroitRedWings,DetroitRedWings.com,Detroit Red Wings,sports
Everton,evertonfc.com,Everton,sports
valenciacf,valenciacf.com,Valencia CF,sports
rfef,rfef.es,RFEF,sports
atleticopr,atleticoparanaense.com,Atlético Paranaense,sports
NUFC,nufc.co.uk,Newcastle United FC,sports
rugbyworldcup,rugbyworldcup.com,Rugby World Cup,sports
Koke6,,Koke Resurrección,sports
sscnapoli,sscnapoli.it,Official SSC Napoli,sports
NBAHistory,nba.com,NBA History,sports
Dimayor,dimayor.com,DIMAYOR,sports
Rangers,texasrangers.com,Texas Rangers,sports
Lions,detroitlions.com,Detroit Lions,sports
Coritiba,coritiba.com.br,Coritiba FC,sports
Pacers,Pacers.com,Indiana Pacers,sports
Lotus_F1Team,lotusf1team.com,Lotus F1 Team,sports
DelhiDaredevils,delhidaredevils.com,Delhi Daredevils,sports
Persija_Jkt,persija.co.id,Persija Jakarta,sports
AFCAjax,ajax.nl,AFC Ajax,sports
BrooklynNets,brooklynnets.com,Brooklyn Nets,sports
BarcelonaSCweb,BarcelonaSC.com.ec,Barcelona S.C.,sports
KaizerChiefs,kaizerchiefs.com,Kaizer Chiefs,sports
ittihad,ittihadfc.com,نادي الاتحاد السعودي,sports
NYRangers,blueshirtsunited.com,New York Rangers,sports
OfficialCSA,cricket.co.za,Cricket South Africa,sports
AtlantaFalcons,atlantafalcons.com,Atlanta Falcons,sports
usabasketball,usab.com,USA Basketball,sports
FMF,femexfut.org.mx,FEMEXFUT,sports
ECB_cricket,ecb.co.uk,The ECB,sports
AlNassrFC,alnassrfc.com,نادي النصر السعودي,sports
TuFPF,,FPF,sports
LVBP_Oficial,lvbp.com,LVBP,sports
RAIDERS,raiders.com,OAKLAND RAIDERS,sports
Panthers,panthers.com,Carolina Panthers,sports
FCPorto,fcporto.pt,FC Porto,sports
GilmarRinaldi,,Gilmar Rinaldi,sports
clt20,clt20.com,#CLT20,sports
